country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Bangladesh,BGD,10,15,160245803,38.82,38.290001,46.849998,49.799999,50.299999,47.330002,47.5,49.740002,51.740002,52.290001,54.189999,65.68,54.93,67.25,79.389999,65.870003,67.800003,66.75,66.769997,67.660004,73.260002,2.8199999,2.77,3.6099999,3.9000001,3.95,3.6600001,3.6800001,3.8900001,4.0900002,4.1399999,4.3299999,5.46,4.4000001,5.6100001,6.8000002,5.48,5.6599998,5.5599999,5.5599999,5.6500001,6.1999998,2.3299999,2.28,3.1199999,3.4100001,3.46,3.1700001,3.1900001,3.4000001,3.5999999,3.6500001,3.8399999,4.9699998,3.9100001,5.1199999,6.3099999,4.9899998,5.1700001,5.0700002,5.0700002,5.1599998,5.71
Bulgaria,BGR,10,25,7064772,25.09,21.6,24.73,21.030001,22.969999,21.16,18.83,20.209999,18.77,15.45,16.26,17.77,14.92,23.139999,18.74,14.85,18.34,17.120001,16.1,11.5,11.42,1.48,1.14,1.4400001,1.08,1.27,1.09,.86000001,1,.86000001,.54000002,.61000001,.75999999,.49000001,1.29,.86000001,.47999999,.81999999,.69999999,.60000002,.20999999,.22,.23,.079999998,.25999999,.1,.16,.12,.059999999,.090000004,.039999999,0,0,.0099999998,0,.20999999,.039999999,0,.050000001,.0099999998,0,0,0
Bahrain,BHR,10,0,1295235,15.97,13.34,23.190001,12.35,17.540001,8.5200005,16.59,24.540001,21.690001,20.85,29.940001,9.7700005,19.58,17.77,29.190001,21.18,17.780001,21.43,22.58,16.549999,19.41,.58999997,.33000001,1.29,.23,.74000001,0,.64999998,1.42,1.15,1.0599999,1.95,.050000001,.94,.75999999,1.88,1.1,.75999999,1.12,1.23,.63999999,.92000002,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,10,0,364830,8.3400002,7.3099999,5.6300001,6.5799999,5.0100002,4.6999998,6.1799998,6.25,5.7199998,6.3600001,4.3000002,5.1599998,5.52,4.1100001,5.04,5.1199999,5.02,3.8699999,4.6300001,4.1599998,4.0999999,.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,10,25,3849117,22.549999,21.370001,24.219999,18.559999,22.18,21.17,16.75,20.16,18.51,16.190001,15.69,20.040001,18.75,22.799999,19.059999,18.790001,16.32,21.690001,15.69,12.66,14.91,1.23,1.11,1.39,.83999997,1.1900001,1.09,.66000003,1,.82999998,.61000001,.56,.98000002,.86000001,1.25,.88999999,.86000001,.62,1.15,.56,.30000001,.47999999,.039999999,.029999999,.11,0,.02,.0099999998,0,.0099999998,0,0,0,0,.0099999998,.050000001,0,0,0,.02,0,0,0
Belarus,BLR,10,15,9525867,22.959999,21.540001,18.77,16.6,21.370001,16.17,15.23,16.299999,20.15,15.6,14.94,18.65,19.73,15.52,14.56,15.1,15.17,15.02,14.8,14.2,15.51,1.27,1.13,.86000001,.64999998,1.11,.60000002,.50999999,.62,.99000001,.55000001,.47999999,.85000002,.94999999,.54000002,.44999999,.5,.50999999,.49000001,.47,.41,.54000002,.77999997,.63999999,.37,.16,.62,.13,.050000001,.16,.5,.1,.050000001,.36000001,.46000001,.090000004,.079999998,.059999999,.050000001,.059999999,.039999999,.029999999,.1
Belize,BLZ,10,0,374655,13.19,9.21,9.3100004,9.3299999,9.5100002,9.8999996,7.9499998,10.06,8.5799999,8.79,8.6400003,7.3800001,7.9699998,10.02,6.8400002,14.48,9.1300001,9.5900002,9.9200001,8.5500002,7.04,.31,.0099999998,.029999999,.02,.039999999,.059999999,0,.039999999,.0099999998,.039999999,0,0,0,.090000004,0,.44,.039999999,.029999999,.050000001,0,0,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,10,10,11220867,16.559999,16.1,13.77,11.69,13.37,10.58,12.61,12.61,10.29,14.11,9.8999996,12.76,15.27,13.46,12.47,11.71,11.79,13.12,12.32,12.3,11.91,.66000003,.62,.41999999,.20999999,.36000001,.23999999,.41999999,.40000001,.25,.49000001,.18000001,.28999999,.52999997,.34999999,.25999999,.2,.20999999,.33000001,.25999999,.25999999,.22,.66000003,.62,.41999999,.20999999,.36000001,.23999999,.41999999,.40000001,.25,.49000001,.18000001,.28999999,.52999997,.34999999,.25999999,.2,.20999999,.33000001,.25999999,.25999999,.22
Brazil,BRA,10,0,208739138,12.23,11.07,10.13,9.8699999,9.6999998,9.25,9.5500002,9.0100002,8.5200005,9.7700005,8.6199999,10.08,9.8900003,10.2,9.5299997,9.5699997,8.7399998,9.9200001,9.7299995,9.0799999,9.4300003,.36000001,.31,.23,.16,.14,.14,.18000001,.13,.11,.18000001,.11,.17,.18000001,.17,.13,.14,.079999998,.17,.14,.12,.13,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,10,0,293131,2.21,2.01,4.52,5.75,2.8399999,2.4000001,3.47,2.3699999,2.21,5.3699999,1.35,1.84,2.5999999,2.6199999,4.1399999,1.58,1.87,4.3600001,1.72,3.45,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
